名前,セリフ,立ち絵,コマンド,成功,失敗,,,,演出
,(夢……か),,,0,100,,,,過去の描写を入れる
,(学校、面倒だな）,,,,,,,,
,(授業なんだっけ……),,,,,,,,
,(まあ、どうでもいいか……),,,,,,,,
,(………………),,,,,,,,ここらへんで一瞬画面を黒くする演出
,体が浮いているような感覚,,,,,,,,
,(気分が悪い……いや、心地いいのか？),,,,,,,,
,(なんだ……？視界が……),,,,,,,,
,,,Search,,,,,,
,,,Label,*anyhuman,,,,,
,誰もいない対面の椅子,,,,,,,,
,いつもは満員であるのに、そこには空間が広がっている,,,,,,,,
,空間がこちらを凝視している,,,,,,,,
,(乗る電車間違えたか？),,,,,,,,
,(まあ大丈夫だよな……),,,,,,,,
,,,Search,,,,,,
,,,Label,*pop-up,,,,,
,『あなたと一緒に健康に！食べようシジミ！』,,,,,,,,
,美容系の広告だ,,,,,,,,
,(シジミって定期的に流行るよな……),,,,,,,,
,(こういう広告って見るやついるのか？誰が見てんだ？),,,,,,,,
,(俺か……),,,,,,,,
,,,Search,,,,,,
,,,Label,*window,,,,,
,そとは変わり映えのない景色が広がっている,,,,,,,,
,もう何十回、何百回と見た,,,,,,,,
,押さえつけてくるような通学路の景色,,,,,,,,
,(はあ……),,,,,,,,
,,,Search,,,,,,
,,,Label,*air,,,,,
,電車の換気口から小さな唸り声が響いている,,,,,,,,
,気にしなければ聞こえない,,,,,,,,
,そんな小さな音だ,,,,,,,,
,,,Search,,,,,,
,,,Label,*Phone,,,,,
,スマホには電車事故の通知,,,,,,,,通知音
,人身事故により一時停止,,,,,,,,ガサガサというse
,路線は……,,,,,,,,
,(あれ、これ俺が乗ってるやつじゃん),,,,,,,,
,(でも、普通に動いてるよな？),,,,,,,,
,(降りるか……),,,,,,,,
,(やばい、意識が……),,,,,,,,
,(視界も……),,,,,,,,
,「うぅ……ああ……」,,,,,,,,
,,,ChangeScene,Train1awake,,,,,
,,,,,,,,,黒くなっていく演出
,,,,,,,,,タイトルが出る演出
,,,,,,,,,驚く音
