名前,セリフ,立ち絵,コマンド,成功,失敗,,,,,
,(…………ッ！),,,,,,,,,
,目の前には赤黒い世界があった,,,,,,,,,
,暖色であるにも関わらず、一切の温かみを感じない,,,,,,,,,
,暗闇の中で、小さな光が目を刺してくる,,,,,,,,,
,「どこだよ、ここ……」,,,,,,,,,
,思わず声が漏れた,,,,,,,,,
,声は反響し、耳元でしゃべられているような感覚,,,,,,,,,
,(終点とかじゃないよな……),,,,,,,,,
,(そうだ、学校……),,,,,,,,,
,ポケットにあるはずの携帯がない,,,,,,,,,ガサガサというse
,(落ち着け、落ち着け……),,,,,,,,,
,(落ち着いて記憶を振り返るんだ…),,,,,,,,,
,,,CharMake,,,,,,,
,,,Label,*start_search,,,,,,
,,,Search,,,,,,,
,,,Label,*window,,,,,,
,外の景色は曇って見えない,,,,,,,,,
,(なんで、誰も歩いていないんだ？),,,,,,,,,
,窓には誰かの指紋がべっとりとついている,,,,,,,,,
